Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026105,East Lindsey 009D,7,Lives rent free,0
E01026106,East Lindsey 001F,-8,Does not apply,0
E01026106,East Lindsey 001F,0,Owned: Owns outright,248
E01026106,East Lindsey 001F,1,Owned: Owns with a mortgage or loan,179
E01026106,East Lindsey 001F,2,Shared ownership: Shared ownership,3
E01026106,East Lindsey 001F,3,Social rented: Rents from council or Local Authority,3
E01026106,East Lindsey 001F,4,Social rented: Other social rented,29
E01026106,East Lindsey 001F,5,Private rented: Private landlord or letting agency,54
E01026106,East Lindsey 001F,6,Private rented: Other private rented,12
E01026106,East Lindsey 001F,7,Lives rent free,0
E01026107,East Lindsey 001G,-8,Does not apply,0
E01026107,East Lindsey 001G,0,Owned: Owns outright,241
E01026107,East Lindsey 001G,1,Owned: Owns with a mortgage or loan,171
E01026107,East Lindsey 001G,2,Shared ownership: Shared ownership,2
E01026107,East Lindsey 001G,3,Social rented: Rents from council or Local Authority,1
E01026107,East Lindsey 001G,4,Social rented: Other social rented,10
E01026107,East Lindsey 001G,5,Private rented: Private landlord or letting agency,61
E01026107,East Lindsey 001G,6,Private rented: Other private rented,15
E01026107,East Lindsey 001G,7,Lives rent free,0
E01026108,East Lindsey 003G,-8,Does not apply,0
E01026108,East Lindsey 003G,0,Owned: Owns outright,252
E01026108,East Lindsey 003G,1,Owned: Owns with a mortgage or loan,257
E01026108,East Lindsey 003G,2,Shared ownership: Shared ownership,36
E01026108,East Lindsey 003G,3,Social rented: Rents from council or Local Authority,86
E01026108,East Lindsey 003G,4,Social rented: Other social rented,285
E01026108,East Lindsey 003G,5,Private rented: Private landlord or letting agency,159
E01026108,East Lindsey 003G,6,Private rented: Other private rented,24
E01026108,East Lindsey 003G,7,Lives rent free,3
E01026109,East Lindsey 006C,-8,Does not apply,0
E01026109,East Lindsey 006C,0,Owned: Owns outright,727
E01026109,East Lindsey 006C,1,Owned: Owns with a mortgage or loan,128
E01026109,East Lindsey 006C,2,Shared ownership: Shared ownership,1
E01026109,East Lindsey 006C,3,Social rented: Rents from council or Local Authority,8
E01026109,East Lindsey 006C,4,Social rented: Other social rented,30
E01026109,East Lindsey 006C,5,Private rented: Private landlord or letting agency,191
E01026109,East Lindsey 006C,6,Private rented: Other private rented,29
E01026109,East Lindsey 006C,7,Lives rent free,0
E01026110,East Lindsey 017B,-8,Does not apply,0
E01026110,East Lindsey 017B,0,Owned: Owns outright,374
E01026110,East Lindsey 017B,1,Owned: Owns with a mortgage or loan,115
E01026110,East Lindsey 017B,2,Shared ownership: Shared ownership,4
E01026110,East Lindsey 017B,3,Social rented: Rents from council or Local Authority,5
E01026110,East Lindsey 017B,4,Social rented: Other social rented,75
E01026110,East Lindsey 017B,5,Private rented: Private landlord or letting agency,93
E01026110,East Lindsey 017B,6,Private rented: Other private rented,25
E01026110,East Lindsey 017B,7,Lives rent free,0
E01026111,East Lindsey 017C,-8,Does not apply,0
E01026111,East Lindsey 017C,0,Owned: Owns outright,338
E01026111,East Lindsey 017C,1,Owned: Owns with a mortgage or loan,132
E01026111,East Lindsey 017C,2,Shared ownership: Shared ownership,6
E01026111,East Lindsey 017C,3,Social rented: Rents from council or Local Authority,19
E01026111,East Lindsey 017C,4,Social rented: Other social rented,87
E01026111,East Lindsey 017C,5,Private rented: Private landlord or letting agency,66
E01026111,East Lindsey 017C,6,Private rented: Other private rented,19
E01026111,East Lindsey 017C,7,Lives rent free,0
E01026112,East Lindsey 017D,-8,Does not apply,0
E01026112,East Lindsey 017D,0,Owned: Owns outright,128
E01026112,East Lindsey 017D,1,Owned: Owns with a mortgage or loan,63
E01026112,East Lindsey 017D,2,Shared ownership: Shared ownership,0
E01026112,East Lindsey 017D,3,Social rented: Rents from council or Local Authority,48
E01026112,East Lindsey 017D,4,Social rented: Other social rented,112
E01026112,East Lindsey 017D,5,Private rented: Private landlord or letting agency,125
E01026112,East Lindsey 017D,6,Private rented: Other private rented,27
E01026112,East Lindsey 017D,7,Lives rent free,0
E01026113,East Lindsey 008D,-8,Does not apply,0
E01026113,East Lindsey 008D,0,Owned: Owns outright,552
E01026113,East Lindsey 008D,1,Owned: Owns with a mortgage or loan,163
E01026113,East Lindsey 008D,2,Shared ownership: Shared ownership,3
E01026113,East Lindsey 008D,3,Social rented: Rents from council or Local Authority,8
E01026113,East Lindsey 008D,4,Social rented: Other social rented,54
E01026113,East Lindsey 008D,5,Private rented: Private landlord or letting agency,104
E01026113,East Lindsey 008D,6,Private rented: Other private rented,36
E01026113,East Lindsey 008D,7,Lives rent free,0
E01026114,East Lindsey 014D,-8,Does not apply,0
E01026114,East Lindsey 014D,0,Owned: Owns outright,193
E01026114,East Lindsey 014D,1,Owned: Owns with a mortgage or loan,116
E01026114,East Lindsey 014D,2,Shared ownership: Shared ownership,2
E01026114,East Lindsey 014D,3,Social rented: Rents from council or Local Authority,2
E01026114,East Lindsey 014D,4,Social rented: Other social rented,63
E01026114,East Lindsey 014D,5,Private rented: Private landlord or letting agency,378
E01026114,East Lindsey 014D,6,Private rented: Other private rented,28
E01026114,East Lindsey 014D,7,Lives rent free,0
E01026115,East Lindsey 012C,-8,Does not apply,0
E01026115,East Lindsey 012C,0,Owned: Owns outright,273
E01026115,East Lindsey 012C,1,Owned: Owns with a mortgage or loan,103
E01026115,East Lindsey 012C,2,Shared ownership: Shared ownership,16
E01026115,East Lindsey 012C,3,Social rented: Rents from council or Local Authority,23
E01026115,East Lindsey 012C,4,Social rented: Other social rented,109
E01026115,East Lindsey 012C,5,Private rented: Private landlord or letting agency,276
E01026115,East Lindsey 012C,6,Private rented: Other private rented,18
E01026115,East Lindsey 012C,7,Lives rent free,1
E01026116,East Lindsey 012D,-8,Does not apply,0
E01026116,East Lindsey 012D,0,Owned: Owns outright,293
E01026116,East Lindsey 012D,1,Owned: Owns with a mortgage or loan,176
E01026116,East Lindsey 012D,2,Shared ownership: Shared ownership,27
E01026116,East Lindsey 012D,3,Social rented: Rents from council or Local Authority,14
E01026116,East Lindsey 012D,4,Social rented: Other social rented,62
E01026116,East Lindsey 012D,5,Private rented: Private landlord or letting agency,144
E01026116,East Lindsey 012D,6,Private rented: Other private rented,12
E01026116,East Lindsey 012D,7,Lives rent free,0
E01026117,East Lindsey 008E,-8,Does not apply,0
E01026117,East Lindsey 008E,0,Owned: Owns outright,532
E01026117,East Lindsey 008E,1,Owned: Owns with a mortgage or loan,173
E01026117,East Lindsey 008E,2,Shared ownership: Shared ownership,4
E01026117,East Lindsey 008E,3,Social rented: Rents from council or Local Authority,4
E01026117,East Lindsey 008E,4,Social rented: Other social rented,36
E01026117,East Lindsey 008E,5,Private rented: Private landlord or letting agency,88
E01026117,East Lindsey 008E,6,Private rented: Other private rented,33
E01026117,East Lindsey 008E,7,Lives rent free,0
E01026118,East Lindsey 016E,-8,Does not apply,0
E01026118,East Lindsey 016E,0,Owned: Owns outright,515
E01026118,East Lindsey 016E,1,Owned: Owns with a mortgage or loan,200
E01026118,East Lindsey 016E,2,Shared ownership: Shared ownership,26
E01026118,East Lindsey 016E,3,Social rented: Rents from council or Local Authority,1
E01026118,East Lindsey 016E,4,Social rented: Other social rented,30
E01026118,East Lindsey 016E,5,Private rented: Private landlord or letting agency,62
E01026118,East Lindsey 016E,6,Private rented: Other private rented,18
E01026118,East Lindsey 016E,7,Lives rent free,0
E01026119,East Lindsey 016F,-8,Does not apply,0
E01026119,East Lindsey 016F,0,Owned: Owns outright,343
E01026119,East Lindsey 016F,1,Owned: Owns with a mortgage or loan,107
E01026119,East Lindsey 016F,2,Shared ownership: Shared ownership,0
E01026119,East Lindsey 016F,3,Social rented: Rents from council or Local Authority,1
E01026119,East Lindsey 016F,4,Social rented: Other social rented,11
E01026119,East Lindsey 016F,5,Private rented: Private landlord or letting agency,40
E01026119,East Lindsey 016F,6,Private rented: Other private rented,11
E01026119,East Lindsey 016F,7,Lives rent free,0
E01026120,East Lindsey 016G,-8,Does not apply,0
E01026120,East Lindsey 016G,0,Owned: Owns outright,293
E01026120,East Lindsey 016G,1,Owned: Owns with a mortgage or loan,154
E01026120,East Lindsey 016G,2,Shared ownership: Shared ownership,22
E01026120,East Lindsey 016G,3,Social rented: Rents from council or Local Authority,11
E01026120,East Lindsey 016G,4,Social rented: Other social rented,95
E01026120,East Lindsey 016G,5,Private rented: Private landlord or letting agency,134
E01026120,East Lindsey 016G,6,Private rented: Other private rented,30
E01026120,East Lindsey 016G,7,Lives rent free,0
E01026121,East Lindsey 007C,-8,Does not apply,0
E01026121,East Lindsey 007C,0,Owned: Owns outright,524
E01026121,East Lindsey 007C,1,Owned: Owns with a mortgage or loan,305
E01026121,East Lindsey 007C,2,Shared ownership: Shared ownership,6
E01026121,East Lindsey 007C,3,Social rented: Rents from council or Local Authority,27
E01026121,East Lindsey 007C,4,Social rented: Other social rented,87
E01026121,East Lindsey 007C,5,Private rented: Private landlord or letting agency,174
E01026121,East Lindsey 007C,6,Private rented: Other private rented,35
E01026121,East Lindsey 007C,7,Lives rent free,1
E01026122,Lincoln 004A,-8,Does not apply,0
E01026122,Lincoln 004A,0,Owned: Owns outright,134
E01026122,Lincoln 004A,1,Owned: Owns with a mortgage or loan,116
E01026122,Lincoln 004A,2,Shared ownership: Shared ownership,11
E01026122,Lincoln 004A,3,Social rented: Rents from council or Local Authority,61
E01026122,Lincoln 004A,4,Social rented: Other social rented,64
E01026122,Lincoln 004A,5,Private rented: Private landlord or letting agency,386
E01026122,Lincoln 004A,6,Private rented: Other private rented,29
E01026122,Lincoln 004A,7,Lives rent free,0
E01026123,Lincoln 004B,-8,Does not apply,0
E01026123,Lincoln 004B,0,Owned: Owns outright,163
E01026123,Lincoln 004B,1,Owned: Owns with a mortgage or loan,295
E01026123,Lincoln 004B,2,Shared ownership: Shared ownership,31
E01026123,Lincoln 004B,3,Social rented: Rents from council or Local Authority,240
E01026123,Lincoln 004B,4,Social rented: Other social rented,73
E01026123,Lincoln 004B,5,Private rented: Private landlord or letting agency,230
E01026123,Lincoln 004B,6,Private rented: Other private rented,16
E01026123,Lincoln 004B,7,Lives rent free,6
E01026124,Lincoln 004C,-8,Does not apply,0
E01026124,Lincoln 004C,0,Owned: Owns outright,142
E01026124,Lincoln 004C,1,Owned: Owns with a mortgage or loan,144
E01026124,Lincoln 004C,2,Shared ownership: Shared ownership,2
E01026124,Lincoln 004C,3,Social rented: Rents from council or Local Authority,11
E01026124,Lincoln 004C,4,Social rented: Other social rented,31
E01026124,Lincoln 004C,5,Private rented: Private landlord or letting agency,397
E01026124,Lincoln 004C,6,Private rented: Other private rented,22
E01026124,Lincoln 004C,7,Lives rent free,0
E01026125,Lincoln 003A,-8,Does not apply,0
E01026125,Lincoln 003A,0,Owned: Owns outright,144
E01026125,Lincoln 003A,1,Owned: Owns with a mortgage or loan,149
E01026125,Lincoln 003A,2,Shared ownership: Shared ownership,3
E01026125,Lincoln 003A,3,Social rented: Rents from council or Local Authority,11
E01026125,Lincoln 003A,4,Social rented: Other social rented,8
E01026125,Lincoln 003A,5,Private rented: Private landlord or letting agency,186
E01026125,Lincoln 003A,6,Private rented: Other private rented,15
E01026125,Lincoln 003A,7,Lives rent free,0
E01026126,Lincoln 004D,-8,Does not apply,0
E01026126,Lincoln 004D,0,Owned: Owns outright,91
E01026126,Lincoln 004D,1,Owned: Owns with a mortgage or loan,83
E01026126,Lincoln 004D,2,Shared ownership: Shared ownership,11
E01026126,Lincoln 004D,3,Social rented: Rents from council or Local Authority,388
E01026126,Lincoln 004D,4,Social rented: Other social rented,42
E01026126,Lincoln 004D,5,Private rented: Private landlord or letting agency,278
E01026126,Lincoln 004D,6,Private rented: Other private rented,18
E01026126,Lincoln 004D,7,Lives rent free,10
E01026127,Lincoln 007A,-8,Does not apply,0
E01026127,Lincoln 007A,0,Owned: Owns outright,77
E01026127,Lincoln 007A,1,Owned: Owns with a mortgage or loan,129
E01026127,Lincoln 007A,2,Shared ownership: Shared ownership,2
E01026127,Lincoln 007A,3,Social rented: Rents from council or Local Authority,306
E01026127,Lincoln 007A,4,Social rented: Other social rented,7
E01026127,Lincoln 007A,5,Private rented: Private landlord or letting agency,96
E01026127,Lincoln 007A,6,Private rented: Other private rented,8
E01026127,Lincoln 007A,7,Lives rent free,7
E01026129,Lincoln 007C,-8,Does not apply,0
E01026129,Lincoln 007C,0,Owned: Owns outright,57
E01026129,Lincoln 007C,1,Owned: Owns with a mortgage or loan,79
E01026129,Lincoln 007C,2,Shared ownership: Shared ownership,0
E01026129,Lincoln 007C,3,Social rented: Rents from council or Local Authority,357
E01026129,Lincoln 007C,4,Social rented: Other social rented,142
E01026129,Lincoln 007C,5,Private rented: Private landlord or letting agency,75
E01026129,Lincoln 007C,6,Private rented: Other private rented,7
E01026129,Lincoln 007C,7,Lives rent free,3
E01026130,Lincoln 009A,-8,Does not apply,0
E01026130,Lincoln 009A,0,Owned: Owns outright,323
E01026130,Lincoln 009A,1,Owned: Owns with a mortgage or loan,180
E01026130,Lincoln 009A,2,Shared ownership: Shared ownership,7
E01026130,Lincoln 009A,3,Social rented: Rents from council or Local Authority,22
E01026130,Lincoln 009A,4,Social rented: Other social rented,13
E01026130,Lincoln 009A,5,Private rented: Private landlord or letting agency,67
E01026130,Lincoln 009A,6,Private rented: Other private rented,12
E01026130,Lincoln 009A,7,Lives rent free,1
E01026131,Lincoln 007D,-8,Does not apply,0
E01026131,Lincoln 007D,0,Owned: Owns outright,197
E01026131,Lincoln 007D,1,Owned: Owns with a mortgage or loan,190
E01026131,Lincoln 007D,2,Shared ownership: Shared ownership,2
E01026131,Lincoln 007D,3,Social rented: Rents from council or Local Authority,133
E01026131,Lincoln 007D,4,Social rented: Other social rented,4
E01026131,Lincoln 007D,5,Private rented: Private landlord or letting agency,64
E01026131,Lincoln 007D,6,Private rented: Other private rented,12
E01026131,Lincoln 007D,7,Lives rent free,2
E01026132,Lincoln 005A,-8,Does not apply,0
E01026132,Lincoln 005A,0,Owned: Owns outright,71
E01026132,Lincoln 005A,1,Owned: Owns with a mortgage or loan,62
E01026132,Lincoln 005A,2,Shared ownership: Shared ownership,6
E01026132,Lincoln 005A,3,Social rented: Rents from council or Local Authority,162
E01026132,Lincoln 005A,4,Social rented: Other social rented,43
E01026132,Lincoln 005A,5,Private rented: Private landlord or letting agency,404
E01026132,Lincoln 005A,6,Private rented: Other private rented,24
E01026132,Lincoln 005A,7,Lives rent free,8
E01026134,Lincoln 006A,-8,Does not apply,0
E01026134,Lincoln 006A,0,Owned: Owns outright,136
E01026134,Lincoln 006A,1,Owned: Owns with a mortgage or loan,187
E01026134,Lincoln 006A,2,Shared ownership: Shared ownership,4
E01026134,Lincoln 006A,3,Social rented: Rents from council or Local Authority,109
E01026134,Lincoln 006A,4,Social rented: Other social rented,18
E01026134,Lincoln 006A,5,Private rented: Private landlord or letting agency,452
E01026134,Lincoln 006A,6,Private rented: Other private rented,22
E01026134,Lincoln 006A,7,Lives rent free,5
E01026135,Lincoln 008B,-8,Does not apply,0
E01026135,Lincoln 008B,0,Owned: Owns outright,326
E01026135,Lincoln 008B,1,Owned: Owns with a mortgage or loan,297
E01026135,Lincoln 008B,2,Shared ownership: Shared ownership,0
E01026135,Lincoln 008B,3,Social rented: Rents from council or Local Authority,49
E01026135,Lincoln 008B,4,Social rented: Other social rented,11
E01026135,Lincoln 008B,5,Private rented: Private landlord or letting agency,57
E01026135,Lincoln 008B,6,Private rented: Other private rented,18
E01026135,Lincoln 008B,7,Lives rent free,2
E01026136,Lincoln 008C,-8,Does not apply,0
E01026136,Lincoln 008C,0,Owned: Owns outright,303
E01026136,Lincoln 008C,1,Owned: Owns with a mortgage or loan,295
E01026136,Lincoln 008C,2,Shared ownership: Shared ownership,35
E01026136,Lincoln 008C,3,Social rented: Rents from council or Local Authority,13
E01026136,Lincoln 008C,4,Social rented: Other social rented,43
E01026136,Lincoln 008C,5,Private rented: Private landlord or letting agency,73
E01026136,Lincoln 008C,6,Private rented: Other private rented,18
E01026136,Lincoln 008C,7,Lives rent free,0
E01026137,Lincoln 011A,-8,Does not apply,0
E01026137,Lincoln 011A,0,Owned: Owns outright,195
E01026137,Lincoln 011A,1,Owned: Owns with a mortgage or loan,211
E01026137,Lincoln 011A,2,Shared ownership: Shared ownership,0
E01026137,Lincoln 011A,3,Social rented: Rents from council or Local Authority,7
E01026137,Lincoln 011A,4,Social rented: Other social rented,2
E01026137,Lincoln 011A,5,Private rented: Private landlord or letting agency,57
E01026137,Lincoln 011A,6,Private rented: Other private rented,7
E01026137,Lincoln 011A,7,Lives rent free,0
E01026138,Lincoln 011B,-8,Does not apply,0
E01026138,Lincoln 011B,0,Owned: Owns outright,301
E01026138,Lincoln 011B,1,Owned: Owns with a mortgage or loan,248
E01026138,Lincoln 011B,2,Shared ownership: Shared ownership,1
E01026138,Lincoln 011B,3,Social rented: Rents from council or Local Authority,3
E01026138,Lincoln 011B,4,Social rented: Other social rented,3
E01026138,Lincoln 011B,5,Private rented: Private landlord or letting agency,53
E01026138,Lincoln 011B,6,Private rented: Other private rented,12
E01026138,Lincoln 011B,7,Lives rent free,0
E01026139,Lincoln 011C,-8,Does not apply,0
E01026139,Lincoln 011C,0,Owned: Owns outright,265
E01026139,Lincoln 011C,1,Owned: Owns with a mortgage or loan,224
E01026139,Lincoln 011C,2,Shared ownership: Shared ownership,5
E01026139,Lincoln 011C,3,Social rented: Rents from council or Local Authority,4
E01026139,Lincoln 011C,4,Social rented: Other social rented,16
E01026139,Lincoln 011C,5,Private rented: Private landlord or letting agency,49
E01026139,Lincoln 011C,6,Private rented: Other private rented,3
E01026139,Lincoln 011C,7,Lives rent free,0
E01026140,Lincoln 011D,-8,Does not apply,0
E01026140,Lincoln 011D,0,Owned: Owns outright,131
E01026140,Lincoln 011D,1,Owned: Owns with a mortgage or loan,184
E01026140,Lincoln 011D,2,Shared ownership: Shared ownership,2
E01026140,Lincoln 011D,3,Social rented: Rents from council or Local Authority,18
E01026140,Lincoln 011D,4,Social rented: Other social rented,164
E01026140,Lincoln 011D,5,Private rented: Private landlord or letting agency,123
E01026140,Lincoln 011D,6,Private rented: Other private rented,7
E01026140,Lincoln 011D,7,Lives rent free,0
E01026141,Lincoln 011E,-8,Does not apply,0
E01026141,Lincoln 011E,0,Owned: Owns outright,218
E01026141,Lincoln 011E,1,Owned: Owns with a mortgage or loan,276
E01026141,Lincoln 011E,2,Shared ownership: Shared ownership,2
E01026141,Lincoln 011E,3,Social rented: Rents from council or Local Authority,33
E01026141,Lincoln 011E,4,Social rented: Other social rented,9
E01026141,Lincoln 011E,5,Private rented: Private landlord or letting agency,47
E01026141,Lincoln 011E,6,Private rented: Other private rented,10
E01026141,Lincoln 011E,7,Lives rent free,2
E01026142,Lincoln 011F,-8,Does not apply,0
E01026142,Lincoln 011F,0,Owned: Owns outright,147
E01026142,Lincoln 011F,1,Owned: Owns with a mortgage or loan,147
E01026142,Lincoln 011F,2,Shared ownership: Shared ownership,0
E01026142,Lincoln 011F,3,Social rented: Rents from council or Local Authority,144
E01026142,Lincoln 011F,4,Social rented: Other social rented,1
E01026142,Lincoln 011F,5,Private rented: Private landlord or letting agency,54
E01026142,Lincoln 011F,6,Private rented: Other private rented,5
E01026142,Lincoln 011F,7,Lives rent free,3
E01026144,Lincoln 003B,-8,Does not apply,0
E01026144,Lincoln 003B,0,Owned: Owns outright,151
E01026144,Lincoln 003B,1,Owned: Owns with a mortgage or loan,152
E01026144,Lincoln 003B,2,Shared ownership: Shared ownership,29
E01026144,Lincoln 003B,3,Social rented: Rents from council or Local Authority,26
E01026144,Lincoln 003B,4,Social rented: Other social rented,82
E01026144,Lincoln 003B,5,Private rented: Private landlord or letting agency,383
E01026144,Lincoln 003B,6,Private rented: Other private rented,67
E01026144,Lincoln 003B,7,Lives rent free,0
E01026145,Lincoln 005C,-8,Does not apply,0
E01026145,Lincoln 005C,0,Owned: Owns outright,186
E01026145,Lincoln 005C,1,Owned: Owns with a mortgage or loan,158
E01026145,Lincoln 005C,2,Shared ownership: Shared ownership,8
E01026145,Lincoln 005C,3,Social rented: Rents from council or Local Authority,27
E01026145,Lincoln 005C,4,Social rented: Other social rented,11
E01026145,Lincoln 005C,5,Private rented: Private landlord or letting agency,262
E01026145,Lincoln 005C,6,Private rented: Other private rented,5
E01026145,Lincoln 005C,7,Lives rent free,0
E01026146,Lincoln 005D,-8,Does not apply,0
E01026146,Lincoln 005D,0,Owned: Owns outright,76
E01026146,Lincoln 005D,1,Owned: Owns with a mortgage or loan,58
E01026146,Lincoln 005D,2,Shared ownership: Shared ownership,6
E01026146,Lincoln 005D,3,Social rented: Rents from council or Local Authority,168
E01026146,Lincoln 005D,4,Social rented: Other social rented,59
E01026146,Lincoln 005D,5,Private rented: Private landlord or letting agency,343
E01026146,Lincoln 005D,6,Private rented: Other private rented,22
E01026146,Lincoln 005D,7,Lives rent free,4
E01026147,Lincoln 003C,-8,Does not apply,0
E01026147,Lincoln 003C,0,Owned: Owns outright,377
E01026147,Lincoln 003C,1,Owned: Owns with a mortgage or loan,365
E01026147,Lincoln 003C,2,Shared ownership: Shared ownership,7
E01026147,Lincoln 003C,3,Social rented: Rents from council or Local Authority,10
E01026147,Lincoln 003C,4,Social rented: Other social rented,3
E01026147,Lincoln 003C,5,Private rented: Private landlord or letting agency,277
E01026147,Lincoln 003C,6,Private rented: Other private rented,28
E01026147,Lincoln 003C,7,Lives rent free,0
E01026148,Lincoln 003D,-8,Does not apply,0
E01026148,Lincoln 003D,0,Owned: Owns outright,208
E01026148,Lincoln 003D,1,Owned: Owns with a mortgage or loan,164
E01026148,Lincoln 003D,2,Shared ownership: Shared ownership,9
E01026148,Lincoln 003D,3,Social rented: Rents from council or Local Authority,136
E01026148,Lincoln 003D,4,Social rented: Other social rented,21
E01026148,Lincoln 003D,5,Private rented: Private landlord or letting agency,400
E01026148,Lincoln 003D,6,Private rented: Other private rented,29
E01026148,Lincoln 003D,7,Lives rent free,9
E01026149,Lincoln 001A,-8,Does not apply,0
E01026149,Lincoln 001A,0,Owned: Owns outright,204
E01026149,Lincoln 001A,1,Owned: Owns with a mortgage or loan,149
E01026149,Lincoln 001A,2,Shared ownership: Shared ownership,0
E01026149,Lincoln 001A,3,Social rented: Rents from council or Local Authority,303
E01026149,Lincoln 001A,4,Social rented: Other social rented,16
E01026149,Lincoln 001A,5,Private rented: Private landlord or letting agency,86
E01026149,Lincoln 001A,6,Private rented: Other private rented,15
E01026149,Lincoln 001A,7,Lives rent free,7
E01026150,Lincoln 001B,-8,Does not apply,0
E01026150,Lincoln 001B,0,Owned: Owns outright,119
E01026150,Lincoln 001B,1,Owned: Owns with a mortgage or loan,171
E01026150,Lincoln 001B,2,Shared ownership: Shared ownership,21
E01026150,Lincoln 001B,3,Social rented: Rents from council or Local Authority,407
E01026150,Lincoln 001B,4,Social rented: Other social rented,19
E01026150,Lincoln 001B,5,Private rented: Private landlord or letting agency,102
E01026150,Lincoln 001B,6,Private rented: Other private rented,11
E01026150,Lincoln 001B,7,Lives rent free,7
E01026151,Lincoln 003E,-8,Does not apply,0
E01026151,Lincoln 003E,0,Owned: Owns outright,317
E01026151,Lincoln 003E,1,Owned: Owns with a mortgage or loan,233
E01026151,Lincoln 003E,2,Shared ownership: Shared ownership,14
E01026151,Lincoln 003E,3,Social rented: Rents from council or Local Authority,122
E01026151,Lincoln 003E,4,Social rented: Other social rented,18
E01026151,Lincoln 003E,5,Private rented: Private landlord or letting agency,240
E01026151,Lincoln 003E,6,Private rented: Other private rented,21
E01026151,Lincoln 003E,7,Lives rent free,2
E01026152,Lincoln 004E,-8,Does not apply,0
E01026152,Lincoln 004E,0,Owned: Owns outright,31
E01026152,Lincoln 004E,1,Owned: Owns with a mortgage or loan,64
E01026152,Lincoln 004E,2,Shared ownership: Shared ownership,1
E01026152,Lincoln 004E,3,Social rented: Rents from council or Local Authority,426
E01026152,Lincoln 004E,4,Social rented: Other social rented,7
E01026152,Lincoln 004E,5,Private rented: Private landlord or letting agency,30
E01026152,Lincoln 004E,6,Private rented: Other private rented,4
E01026152,Lincoln 004E,7,Lives rent free,5
E01026153,Lincoln 002A,-8,Does not apply,0
E01026153,Lincoln 002A,0,Owned: Owns outright,342
E01026153,Lincoln 002A,1,Owned: Owns with a mortgage or loan,371
E01026153,Lincoln 002A,2,Shared ownership: Shared ownership,9
E01026153,Lincoln 002A,3,Social rented: Rents from council or Local Authority,48
E01026153,Lincoln 002A,4,Social rented: Other social rented,44
E01026153,Lincoln 002A,5,Private rented: Private landlord or letting agency,257
E01026153,Lincoln 002A,6,Private rented: Other private rented,27
E01026153,Lincoln 002A,7,Lives rent free,0
E01026154,Lincoln 004F,-8,Does not apply,0
E01026154,Lincoln 004F,0,Owned: Owns outright,131
E01026154,Lincoln 004F,1,Owned: Owns with a mortgage or loan,180
E01026154,Lincoln 004F,2,Shared ownership: Shared ownership,2
E01026154,Lincoln 004F,3,Social rented: Rents from council or Local Authority,148
E01026154,Lincoln 004F,4,Social rented: Other social rented,10
E01026154,Lincoln 004F,5,Private rented: Private landlord or letting agency,46
E01026154,Lincoln 004F,6,Private rented: Other private rented,14
E01026154,Lincoln 004F,7,Lives rent free,0
E01026155,Lincoln 002B,-8,Does not apply,0
E01026155,Lincoln 002B,0,Owned: Owns outright,287
E01026155,Lincoln 002B,1,Owned: Owns with a mortgage or loan,311
E01026155,Lincoln 002B,2,Shared ownership: Shared ownership,2
E01026155,Lincoln 002B,3,Social rented: Rents from council or Local Authority,9
E01026155,Lincoln 002B,4,Social rented: Other social rented,0
E01026155,Lincoln 002B,5,Private rented: Private landlord or letting agency,190
E01026155,Lincoln 002B,6,Private rented: Other private rented,12
E01026155,Lincoln 002B,7,Lives rent free,0
E01026156,Lincoln 004G,-8,Does not apply,0
E01026156,Lincoln 004G,0,Owned: Owns outright,114
E01026156,Lincoln 004G,1,Owned: Owns with a mortgage or loan,125
E01026156,Lincoln 004G,2,Shared ownership: Shared ownership,1
E01026156,Lincoln 004G,3,Social rented: Rents from council or Local Authority,186
E01026156,Lincoln 004G,4,Social rented: Other social rented,3
E01026156,Lincoln 004G,5,Private rented: Private landlord or letting agency,48
E01026156,Lincoln 004G,6,Private rented: Other private rented,6
E01026156,Lincoln 004G,7,Lives rent free,1
E01026157,Lincoln 002C,-8,Does not apply,0
E01026157,Lincoln 002C,0,Owned: Owns outright,213
E01026157,Lincoln 002C,1,Owned: Owns with a mortgage or loan,86
E01026157,Lincoln 002C,2,Shared ownership: Shared ownership,1
E01026157,Lincoln 002C,3,Social rented: Rents from council or Local Authority,211
E01026157,Lincoln 002C,4,Social rented: Other social rented,40
E01026157,Lincoln 002C,5,Private rented: Private landlord or letting agency,83
E01026157,Lincoln 002C,6,Private rented: Other private rented,6
E01026157,Lincoln 002C,7,Lives rent free,2
E01026158,Lincoln 009B,-8,Does not apply,0
E01026158,Lincoln 009B,0,Owned: Owns outright,355
E01026158,Lincoln 009B,1,Owned: Owns with a mortgage or loan,191
E01026158,Lincoln 009B,2,Shared ownership: Shared ownership,0
E01026158,Lincoln 009B,3,Social rented: Rents from council or Local Authority,8
E01026158,Lincoln 009B,4,Social rented: Other social rented,13
E01026158,Lincoln 009B,5,Private rented: Private landlord or letting agency,80
E01026158,Lincoln 009B,6,Private rented: Other private rented,11
E01026158,Lincoln 009B,7,Lives rent free,0
E01026159,Lincoln 009C,-8,Does not apply,0
E01026159,Lincoln 009C,0,Owned: Owns outright,209
E01026159,Lincoln 009C,1,Owned: Owns with a mortgage or loan,242
E01026159,Lincoln 009C,2,Shared ownership: Shared ownership,5
E01026159,Lincoln 009C,3,Social rented: Rents from council or Local Authority,16
